Code,region,year,meanDomesticGasConsumption (kWh per meter),averagetotalyears,,,,,,,,,,,,
K03000001,Great Britain (inc unallocated),2020,13697.60,"13,487.82",,,,,,,,,,,,
K03000001,Great Britain (inc unallocated),2019,13495.20,,,,,,,,,,,,,
K03000001,Great Britain (inc unallocated),2018,13380.50,,,,,,,,,,,,,
K03000001,Great Britain (inc unallocated),2017,13543.80,,,,,,,,,,,,,
K03000001,Great Britain (inc unallocated),2016,13322.00,,,,,,,,,,,,,
K04000001,England and Wales (inc unallocated),2020,13678.30,"13,460.52",,,,,,,,,,,,
K04000001,England and Wales (inc unallocated),2019,13471.50,,,,,,,,,,,,,
K04000001,England and Wales (inc unallocated),2018,13355.20,,,,,,,,,,,,,
K04000001,England and Wales (inc unallocated),2017,13512.50,,,,,,,,,,,,,
K04000001,England and Wales (inc unallocated),2016,13285.10,,,,,,,,,,,,,
E92000001,England,2020,13726.50,"13,508.68",,,,,,,,,,,,
E92000001,England,2019,13516.50,,,,,,,,,,,,,
E92000001,England,2018,13402.80,,,,,,,,,,,,,
E92000001,England,2017,13559.20,,,,,,,,,,,,,
E92000001,England,2016,13338.40,,,,,,,,,,,,,
E12000001,North East,2020,13862.50,"13,620.94",,,,,,,,,,,,
E12000001,North East,2019,13556.60,,,,,,,,,,,,,
E12000001,North East,2018,13395.50,,,,,,,,,,,,,
E12000001,North East,2017,13759.10,,,,,,,,,,,,,
E12000001,North East,2016,13531.00,,,,,,,,,,,,,
E12000002,North West,2020,13593.50,13325.28,,,,,,,,,,,,
E12000002,North West,2019,13374.20,,,,,,,,,,,,,
E12000002,North West,2018,13198.60,,,,,,,,,,,,,
E12000002,North West,2017,13387.30,,,,,,,,,,,,,
E12000002,North West,2016,13072.80,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,2020,14271.30,13953.72,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,2019,13957.30,,,,,,,,,,,,,
E12000003,Yorkshire and The Humber,2018,13803.40,,,,,,,,,,,,,
