Code,region,meanConsumptionPerHousehold,,,,,,,,,,,,,,,,,,,,,"Mean domestic
consumption
(kWh per household)"
,,,,,,,,,,,,,,,,,,,,,,,"3,477.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,932.70"
,,,,,,,,,,,,,,,,,,,,,,,"4,319.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,924.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,541.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,303.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,583.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,614.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,878.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,682.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,974.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,801.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,735.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,549.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,872.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,348.00"
,,,,,,,,,,,,,,,,,,,,,,,"4,166.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,102.90"
,,,,,,,,,,,,,,,,,,,,,,,"4,128.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,467.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,391.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,167.70"
,,,,,,,,,,,,,,,,,,,,,,,"4,529.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,282.90"
,,,,,,,,,,,,,,,,,,,,,,,"4,128.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,478.90"
,,,,,,,,,,,,,,,,,,,,,,,"4,043.10"
,,,,,,,,,,,,,,,,,,,,,,,"3,660.20"
,,,,,,,,,,,,,,,,,,,,,,,"3,821.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,526.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,113.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,159.70"
,,,,,,,,,,,,,,,,,,,,,,,"4,466.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,739.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,345.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,243.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,757.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,988.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,352.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,458.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,062.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,934.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,925.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,896.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,240.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,791.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,160.60"
,,,,,,,,,,,,,,,,,,,,,,,"5,197.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,290.90"
,,,,,,,,,,,,,,,,,,,,,,,"4,311.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,669.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,794.10"
,,,,,,,,,,,,,,,,,,,,,,,"3,711.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,574.10"
,,,,,,,,,,,,,,,,,,,,,,,"3,878.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,773.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,261.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,662.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,620.00"
,,,,,,,,,,,,,,,,,,,,,,,"4,066.10"
,,,,,,,,,,,,,,,,,,,,,,,"3,781.20"
,,,,,,,,,,,,,,,,,,,,,,,"3,754.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,822.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,712.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,983.90"
,,,,,,,,,,,,,,,,,,,,,,,"4,268.00"
,,,,,,,,,,,,,,,,,,,,,,,"4,275.30"
,,,,,,,,,,,,,,,,,,,,,,,"4,215.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,276.90"
,,,,,,,,,,,,,,,,,,,,,,,"4,543.00"
,,,,,,,,,,,,,,,,,,,,,,,"4,354.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,319.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,880.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,174.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,486.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,908.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,396.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,525.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,066.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,853.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,805.60"
,,,,,,,,,,,,,,,,,,,,,,,"5,161.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,404.10"
,,,,,,,,,,,,,,,,,,,,,,,"4,172.50"
,,,,,,,,,,,,,,,,,,,,,,,"5,346.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,282.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,191.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,679.10"
,,,,,,,,,,,,,,,,,,,,,,,"4,279.70"
,,,,,,,,,,,,,,,,,,,,,,,"4,578.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,883.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,689.70"
,,,,,,,,,,,,,,,,,,,,,,,"4,333.10"
,,,,,,,,,,,,,,,,,,,,,,,"4,164.20"
,,,,,,,,,,,,,,,,,,,,,,,"5,379.80"
,,,,,,,,,,,,,,,,,,,,,,,"5,206.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,332.10"
,,,,,,,,,,,,,,,,,,,,,,,"4,757.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,740.10"
,,,,,,,,,,,,,,,,,,,,,,,"3,777.10"
,,,,,,,,,,,,,,,,,,,,,,,"4,955.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,564.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,045.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,810.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,573.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,437.30"
,,,,,,,,,,,,,,,,,,,,,,,"4,520.60"
,,,,,,,,,,,,,,,,,,,,,,,"6,412.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,087.00"
,,,,,,,,,,,,,,,,,,,,,,,"2,985.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,573.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,381.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,012.40"
,,,,,,,,,,,,,,,,,,,,,,,"4,608.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,250.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,235.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,459.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,452.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,327.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,818.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,899.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,381.90"
,,,,,,,,,,,,,,,,,,,,,,,"4,261.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,832.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,728.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,027.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,916.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,968.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,807.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,450.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,149.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,898.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,031.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,953.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,936.00"
,,,,,,,,,,,,,,,,,,,,,,,"4,081.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,780.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,188.90"
,,,,,,,,,,,,,,,,,,,,,,,"4,005.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,429.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,823.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,238.60"
,,,,,,,,,,,,,,,,,,,,,,,"5,081.00"
,,,,,,,,,,,,,,,,,,,,,,,"4,103.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,751.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,850.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,576.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,031.50"
